filtration,number of simplices,creation time,reduction time,time/m^1.5,time/m^3
A,428643,2365.458117,24654.162862,8.78509893613218E-05,3.13042319666781E-13
B,108161,693.918991,1319.733166,3.71005279862068E-05,1.04297536222964E-12
C,180347,2797.176091,2821.081295,3.68342827707664E-05,4.80937713365959E-13
D,2716431,162546.741243,263103.723978,5.87663852870976E-05,1.31259565143988E-14
